Source_Name,z_best,Size,angular_size,L_144,Mass_median,flag_mass,fri,frii,hybrid,spiral,relaxed,cshaped,sshaped,misaligned,wings,xshaped,straight,multihotspots,continuous,banding,onesided,restarted,cluster,merger,diffuse,unknown,featurecount,hasanyone,hasanytwo,hasall,has_exactly_1,has_exactly_2,se,ms,em
ILTJ001535.77+244754.7,0.2410906702280044,216.6587764273417,56.91975747654874,1.3385135243877453e+25,11.343483924865724,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,False,False,False,False,False,False,False,False
ILTJ001543.40+324208.3,0.30996,402.1629180782953,88.28113509063,2.9835863748094807e+25,11.366641998291016,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3,True,False,False,True,False,False,False,False
ILTJ001550.48+173526.7,0.914283,612.7298894917003,78.29570688630093,1.254200412645274e+27,11.200575828552246,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001553.43+331605.6,0.3868725299835205,547.5949161319006,104.02753906235078,4.317803796947653e+25,11.539067268371582,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,4,True,False,False,True,False,False,False,False
ILTJ001602.30+184932.2,0.1348003,247.07141761349823,103.38651044616344,5.299698648624331e+24,10.87104606628418,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ001605.08+244025.8,1.3968610763549805,1252.861321750977,148.5980748699786,1.5418560875422636e+27,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ001612.28+323857.4,0.8394978642463684,579.042183208577,75.9035920669517,1.238267052198264e+28,11.37942123413086,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001617.22+204148.6,0.5995500087738037,482.20415774099575,72.15205674497281,8.886473260023237e+26,11.140535354614258,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ001628.67+242608.6,0.3025966,420.9192999585303,93.93621675127616,8.125446183487691e+25,10.125350952148438,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001630.76+252058.2,1.043598,1246.4421157995832,154.1427156882512,4.740730460162278e+26,11.00656795501709,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001641.82+313901.6,0.6457584,1128.142888296243,163.2704851075614,4.3185235646921006e+26,11.094401359558104,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001646.31+244041.7,0.8919449,530.1592011116312,68.22378098975338,2.9617422836818497e+26,11.282559394836426,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001701.04+270352.6,0.687192,629.834475641654,88.79888647237887,1.604059409919503e+26,,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ001713.25+300443.4,0.878566,859.3765992950324,111.08217192166713,3.7822532889326734e+26,11.08625030517578,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ001758.60+300337.6,0.84407,1077.9617416221429,141.06078059250137,5.143969364812261e+26,11.433971405029297,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001759.63+241607.1,0.32545,1599.057572186299,339.62347674893743,1.550308050257368e+26,11.312365531921388,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,3,True,False,False,True,False,False,False,False
ILTJ001800.37+300620.2,1.0671476125717163,637.95282603351,78.52421319795191,1.5525570192357315e+27,11.258106231689451,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,3,True,False,False,True,False,False,False,False
ILTJ001806.41+193900.4,1.062291,1000.9955370028016,123.3260206133582,7.089736499388325e+26,11.449013710021973,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,4,True,True,True,False,False,True,True,True
ILTJ001808.58+310234.2,0.9039424,1791.5729702864892,229.6652256884887,3.003967644599703e+27,11.024506568908691,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,False,False
ILTJ001815.07+214129.4,0.3025805652141571,1066.1767334655265,237.94648818531968,1.1716461361028868e+27,,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,4,True,True,False,False,True,True,False,False
ILTJ001815.61+180402.2,0.774118,459.93548723047854,61.962233506267815,2.093868534880372e+26,11.28674602508545,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False
ILTJ001816.54+314907.7,0.7094664,523.134705309986,72.81861477527384,1.9897603253761463e+26,11.721237182617188,True,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,5,True,True,True,False,False,True,True,True
ILTJ001844.23+291705.3,0.6021874,585.0914100202494,87.36930095487033,3.307163488821284e+26,10.750208854675291,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,False,False,False
ILTJ001858.48+315016.9,0.8281116,757.3686952348475,99.71697896197534,3.939934793273966e+26,,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,5,True,True,True,False,False,True,True,True
ILTJ001900.38+170509.2,0.5536665,793.0883265315945,123.28831594227955,1.3583985990102862e+26,11.18183135986328,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,False,False,False,False,False,False,False
ILTJ001904.15+183247.3,0.4667813,967.0764681548984,164.4807293846001,7.816951948595085e+26,11.356199264526367,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,3,True,False,False,True,False,False,False,False
