filename,field,crop_index,p_low,p_high,source_count
J0406.7-7116_aFix_pol_I_Farcsec_5pln_cor_crop_0010.npy,J0406.7-7116_aFix_pol_I_Farcsec_5pln_cor,10,-1.6727117326809093e-05,3.893847315339372e-05,
J0027.3-5015_aFix_pol_I_Farcsec_5pln_cor_crop_0033.npy,J0027.3-5015_aFix_pol_I_Farcsec_5pln_cor,33,-1.4346433999889996e-05,3.467470014584251e-05,
Abell_2597_noFix_pol_I_Farcsec_5pln_cor_crop_0041.npy,Abell_2597_noFix_pol_I_Farcsec_5pln_cor,41,-5.033568595536053e-05,6.417310942197219e-05,
Abell_85_aFix_pol_I_Farcsec_5pln_cor_crop_0185.npy,Abell_85_aFix_pol_I_Farcsec_5pln_cor,185,-1.6969566786428913e-05,4.114058901905082e-05,
J0540.1-4050_aFix_pol_I_Farcsec_5pln_cor_crop_0127.npy,J0540.1-4050_aFix_pol_I_Farcsec_5pln_cor,127,-1.9781218725256625e-05,3.538576129358262e-05,
J0336.3-4037_aFix_pol_I_Farcsec_5pln_cor_crop_0058.npy,J0336.3-4037_aFix_pol_I_Farcsec_5pln_cor,58,-1.9070150301558897e-05,3.8439713534899056e-05,
J0745.1-5404_aFix_pol_I_Farcsec_5pln_cor_crop_0086.npy,J0745.1-5404_aFix_pol_I_Farcsec_5pln_cor,86,-1.8277149138157256e-05,3.714456397574395e-05,
J1240.2-4825_aFix_pol_I_Farcsec_5pln_cor_crop_0052.npy,J1240.2-4825_aFix_pol_I_Farcsec_5pln_cor,52,-1.6159494407474995e-05,3.676811684272252e-05,
J0314.3-4525_aFix_pol_I_Farcsec_5pln_cor_crop_0164.npy,J0314.3-4525_aFix_pol_I_Farcsec_5pln_cor,164,-1.2252019587322138e-05,3.824526356766e-05,
J2023.4-5535_aFix_pol_I_Farcsec_5pln_cor_crop_0019.npy,J2023.4-5535_aFix_pol_I_Farcsec_5pln_cor,19,-2.326385947526433e-05,4.042817090521567e-05,
Abell_4038_aFix_pol_I_Farcsec_5pln_cor_crop_0113.npy,Abell_4038_aFix_pol_I_Farcsec_5pln_cor,113,-1.8985389033332467e-05,4.2698269680840895e-05,
J1535.1-4658_aFix_pol_I_Farcsec_5pln_cor_crop_0133.npy,J1535.1-4658_aFix_pol_I_Farcsec_5pln_cor,133,-2.547855729062576e-05,3.796764576691203e-05,
J1601.7-7544_aFix_pol_I_Farcsec_5pln_cor_crop_0139.npy,J1601.7-7544_aFix_pol_I_Farcsec_5pln_cor,139,-1.893065564217977e-05,4.2162908357568085e-05,
J0626.3-5341_aFix_pol_I_Farcsec_5pln_cor_crop_0062.npy,J0626.3-5341_aFix_pol_I_Farcsec_5pln_cor,62,-2.286754715896677e-05,4.3426152842585e-05,
J0416.7-5525_aFix_pol_I_Farcsec_5pln_cor_crop_0097.npy,J0416.7-5525_aFix_pol_I_Farcsec_5pln_cor,97,-1.4703909073432442e-05,4.304752292227931e-05,
Abell_141_aFix_pol_I_Farcsec_5pln_cor_crop_0075.npy,Abell_141_aFix_pol_I_Farcsec_5pln_cor,75,-1.6963114831014536e-05,3.675864718388766e-05,
J0317.9-4414_aFix_pol_I_Farcsec_5pln_cor_crop_0143.npy,J0317.9-4414_aFix_pol_I_Farcsec_5pln_cor,143,-1.825527215260081e-05,4.13110428780783e-05,
J1130.0-4213_aFix_pol_I_Farcsec_5pln_cor_crop_0091.npy,J1130.0-4213_aFix_pol_I_Farcsec_5pln_cor,91,-1.5924631952657364e-05,3.826789543381892e-05,
MACS_J0257.6-2209_noFix_pol_I_Farcsec_5pln_cor_crop_0039.npy,MACS_J0257.6-2209_noFix_pol_I_Farcsec_5pln_cor,39,-2.3381955543300137e-05,4.110854570171796e-05,
J0631.3-5610_aFix_pol_I_Farcsec_5pln_cor_crop_0057.npy,J0631.3-5610_aFix_pol_I_Farcsec_5pln_cor,57,-1.3746558579441626e-05,3.730034950422123e-05,
J0627.2-5428_aFix_pol_I_Farcsec_5pln_cor_crop_0119.npy,J0627.2-5428_aFix_pol_I_Farcsec_5pln_cor,119,-3.725358692463488e-05,5.157724808668718e-05,
Abell_521_noFix_pol_I_Farcsec_5pln_cor_crop_0134.npy,Abell_521_noFix_pol_I_Farcsec_5pln_cor,134,-1.8806747902999632e-05,4.423171412781812e-05,
J0516.6-5430_aFix_pol_I_Farcsec_5pln_cor_crop_0015.npy,J0516.6-5430_aFix_pol_I_Farcsec_5pln_cor,15,-1.4557363101630472e-05,3.583080251701176e-05,
Abell_3365_noFix_pol_I_Farcsec_5pln_cor_crop_0172.npy,Abell_3365_noFix_pol_I_Farcsec_5pln_cor,172,-3.684182956931181e-05,5.151375808054581e-05,
